Season,Name,Age,Born,Flag,B,T,Ht,Wt,DoB,Yrs,GP,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,All-Star,HOF
1965,Turk Farrell,31,US,,R,R,"6' 4""",215,"Apr 8, 1934",10,33,29,33,33,33,0,0,0,0,0,0,0,0,0,-,0,0,2,Yes,No
1965,Nellie Fox,37,US,,L,R,"5' 10""",160,"Dec 25, 1927",19,21,6,21,9,0,0,2,1,6,0,0,0,0,0,-,12,1,0,No,Yes
1965,Joe Gaines,28,US,,R,R,"6' 1""",190,"Nov 22, 1936",6,100,56,100,65,0,0,0,0,0,0,24,0,41,65,-,36,5,-0.3,No,No
1965,Jim Gentile,31,US,,L,L,"6' 3""",210,"Jun 3, 1934",8,81,62,81,68,0,0,68,0,0,0,0,0,0,0,-,14,0,0.4,No,No
1965,Dave Giusti,25,US,,R,R,"5' 11""",190,"Nov 27, 1939",3,38,13,38,38,38,0,0,0,0,0,0,0,0,0,-,1,0,0.9,No,No
1965,Chuck Harrison,24,US,,R,R,"5' 10""",185,"Apr 25, 1941",1st,15,12,15,12,0,0,12,0,0,0,0,0,0,0,-,3,0,0,No,No
1965,John Hoffman,21,US,,L,R,"6' 0""",190,"Oct 31, 1943",2,2,1,2,2,0,2,0,0,0,0,0,0,0,0,-,1,0,0,No,No
1965,Sonny Jackson,20,US,,L,R,"5' 9""",150,"Jul 9, 1944",3,10,7,10,9,0,0,0,0,1,8,0,0,0,0,-,1,2,-0.3,No,No
1965,Ken Johnson,32,US,,R,R,"6' 4""",210,"Jun 16, 1933",8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,-,0,0,0.3,No,No
1965,Gordon Jones,35,US,,R,R,"6' 0""",185,"Apr 2, 1930",11,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1965,Eddie Kasko,34,US,,R,R,"6' 0""",180,"Jun 27, 1931",9,68,54,68,61,0,0,0,0,2,59,0,0,0,0,-,9,0,-0.2,No,No
1965,Jack Lamabe,28,US,,R,R,"6' 1""",198,"Oct 3, 1936",4,3,2,3,3,3,0,0,0,0,0,0,0,0,0,-,0,0,-0.1,No,No
1965,Don Larsen,35,US,,R,R,"6' 4""",215,"Aug 7, 1929",13,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1965,Don Lee,31,US,,R,R,"6' 4""",205,"Feb 26, 1934",8,7,0,7,7,7,0,0,0,0,0,0,0,0,0,-,0,0,0.1,No,No
1965,Bob Lillis,35,US,,R,R,"5' 11""",160,"Jun 2, 1930",8,124,112,124,117,0,0,0,6,9,104,0,0,0,0,-,6,2,-0.9,No,No
1965,Ken MacKenzie,31,CA,,R,L,"6' 0""",185,"Mar 10, 1934",6,21,0,21,21,21,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1965,Jim Mahoney,31,US,,R,R,"6' 0""",175,"May 26, 1934",4,5,1,5,5,0,0,0,0,0,5,0,0,0,0,-,0,0,-0.2,No,No
1965,Lee Maye,30,US,,L,R,"6' 2""",190,"Dec 11, 1934",7,108,97,108,103,0,0,0,0,0,0,91,11,3,103,-,8,1,-0.7,No,No
1965,Norm Miller,19,US,,L,R,"5' 10""",185,"Feb 5, 1946",1st,11,2,11,2,0,0,0,0,0,0,2,0,0,2,-,7,2,-0.1,No,No
1965,Joe Morgan,21,US,,L,R,"5' 7""",160,"Sep 19, 1943",3,157,155,157,157,0,0,0,157,0,0,0,0,0,0,-,0,0,5.7,No,Yes
1965,Don Nottebart,29,US,,R,R,"6' 1""",190,"Jan 23, 1936",6,29,25,29,29,29,0,0,0,0,0,0,0,0,0,-,0,0,-0.7,No,No
1965,Jim Owens,31,US,,R,R,"5' 11""",180,"Jan 16, 1934",10,50,0,50,50,50,0,0,0,0,0,0,0,0,0,-,0,0,1.3,No,No
1965,Gene Ratliff,19,US,,R,R,"6' 5""",185,"Sep 28, 1945",1st,4,0,4,0,0,0,0,0,0,0,0,0,0,0,-,4,0,0,No,No
1965,Jim Ray,20,US,,R,R,"6' 1""",185,"Dec 1, 1944",1st,3,2,3,3,3,0,0,0,0,0,0,0,0,0,-,0,0,-0.4,No,No
1965,Claude Raymond,28,CA,,R,R,"5' 10""",175,"May 7, 1937",6,34,7,34,33,33,0,0,0,0,0,0,0,0,0,-,0,1,2.1,No,No
1965,Robin Roberts,38,US,,B,R,"6' 0""",190,"Sep 30, 1926",18,10,10,10,10,10,0,0,0,0,0,0,0,0,0,-,0,0,2.7,No,Yes
1965,Carroll Sembera,23,US,,R,R,"6' 0""",155,"Jul 26, 1941",1st,2,1,2,2,2,0,0,0,0,0,0,0,0,0,-,0,0,0.1,No,No
1965,Al Spangler,31,US,,L,L,"6' 0""",175,"Jul 8, 1933",7,38,25,38,33,0,0,0,0,0,0,31,1,1,33,-,7,1,-0.5,No,No
1965,Rusty Staub,21,US,,L,R,"6' 2""",190,"Apr 1, 1944",3,131,105,131,113,0,0,1,0,0,0,1,2,110,112,-,21,1,1.6,No,No
1965,Ron Taylor,27,CA,,R,R,"6' 1""",195,"Dec 13, 1937",4,32,1,32,32,32,0,0,0,0,0,0,0,0,0,-,0,0,-1.4,No,No
1965,Frank Thomas,36,US,,R,R,"6' 3""",200,"Jun 11, 1929",15,23,13,23,18,0,0,16,0,2,0,1,0,0,1,-,8,0,-0.2,No,No
1965,Gus Triandos,34,US,,R,R,"6' 3""",205,"Jul 30, 1930",13,24,19,24,20,0,20,0,0,0,0,0,0,0,0,-,5,0,-0.3,No,No
1965,Bruce Von Hoff,21,US,,R,R,"6' 0""",187,"Nov 17, 1943",1st,3,0,3,3,3,0,0,0,0,0,0,0,0,0,-,0,0,-0.1,No,No
1965,Mike White,26,US,,R,R,"5' 8""",160,"Dec 18, 1938",3,8,0,8,1,0,0,0,0,1,0,0,0,0,0,-,8,0,-0.2,No,No
1965,Hal Woodeshick,32,US,,R,L,"6' 3""",200,"Aug 24, 1932",9,27,0,27,27,27,0,0,0,0,0,0,0,0,0,-,0,0,0.5,No,No
1965,Jim Wynn,23,US,,R,R,"5' 10""",160,"Mar 12, 1942",3,157,150,157,155,0,0,0,0,0,0,0,155,0,155,-,4,0,7.4,No,No
1965,Chris Zachary,21,US,,L,R,"6' 2""",200,"Feb 19, 1944",3,4,2,4,4,4,0,0,0,0,0,0,0,0,0,-,0,0,0.1,No,No
1966,Dave Adlesh,22,US,,R,R,"6' 0""",187,"Jul 15, 1943",4,3,0,3,1,0,1,0,0,0,0,0,0,0,0,-,3,0,-0.2,No,No
1966,Don Arlich,23,US,,L,L,"6' 2""",185,"Feb 15, 1943",2,7,0,7,7,7,0,0,0,0,0,0,0,0,0,-,0,0,-0.7,No,No
1966,Bob Aspromonte,28,US,,R,R,"6' 2""",170,"Jun 19, 1938",8,152,147,152,150,0,0,2,0,149,2,0,0,0,0,-,3,0,-0.4,No,No
1966,John Bateman,25,US,,R,R,"6' 3""",210,"Jul 21, 1940",4,131,120,131,121,0,121,0,0,0,0,0,0,0,0,-,11,0,2.3,No,No
1966,Ron Brand,26,US,,R,R,"5' 7""",167,"Jan 13, 1940",3,56,24,56,36,0,25,0,9,1,0,3,0,0,3,-,26,2,-0.3,No,No
1966,Bob Bruce,33,US,,R,R,"6' 3""",200,"May 16, 1933",8,25,23,25,25,25,0,0,0,0,0,0,0,0,0,-,0,0,-1.3,No,No
1966,Frank Carpin,27,US,,L,L,"5' 10""",172,"Sep 14, 1938",2,10,0,10,10,10,0,0,0,0,0,0,0,0,0,-,0,0,-0.5,No,No
1966,Nate Colbert,20,US,,R,R,"6' 2""",205,"Apr 9, 1946",1st,19,0,19,0,0,0,0,0,0,0,0,0,0,0,-,7,12,0,No,No
1966,Danny Coombs,24,US,,R,L,"6' 4""",200,"Mar 23, 1942",4,2,0,2,2,2,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1966,Mike Cuellar,29,CU,,L,L,"6' 0""",165,"May 8, 1937",4,38,28,38,38,38,0,0,0,0,0,0,0,0,0,-,0,0,5.5,No,No
1966,Brock Davis,22,US,,L,L,"5' 10""",165,"Oct 19, 1943",3,10,7,10,7,0,0,0,0,0,0,0,7,0,7,-,3,0,0.1,No,No
1966,Ron Davis,24,US,,R,R,"6' 0""",175,"Oct 21, 1941",2,48,47,48,48,0,0,0,0,0,0,0,48,0,48,-,1,0,-0.1,No,No
1966,Larry Dierker,19,US,,R,R,"6' 4""",215,"Sep 22, 1946",3,29,28,29,29,29,0,0,0,0,0,0,0,0,0,-,0,0,3.2,No,No
1966,Turk Farrell,32,US,,R,R,"6' 4""",215,"Apr 8, 1934",11,32,21,32,32,32,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1966,Gene Freese,32,US,,R,R,"5' 11""",175,"Jan 8, 1934",12,21,5,21,8,0,0,0,3,4,0,1,0,0,1,-,15,0,-0.4,No,No
1966,Joe Gaines,29,US,,R,R,"6' 1""",190,"Nov 22, 1936",7,11,2,11,3,0,0,0,0,0,0,1,0,2,3,-,6,3,-0.2,No,No
1966,Jim Gentile,32,US,,L,L,"6' 3""",210,"Jun 3, 1934",9,49,38,49,43,0,0,43,0,0,0,0,0,0,0,-,10,0,0.6,No,No
1966,Dave Giusti,26,US,,R,R,"5' 11""",190,"Nov 27, 1939",4,41,33,41,34,34,0,0,0,0,0,0,0,0,0,-,0,7,1.3,No,No
1966,Julio Gotay,27,PR,,R,R,"6' 0""",180,"Jun 9, 1939",7,4,1,4,1,0,0,0,0,1,0,0,0,0,0,-,3,0,-0.1,No,No
1966,Chuck Harrison,25,US,,R,R,"5' 10""",185,"Apr 25, 1941",2,119,113,119,114,0,0,114,0,0,0,0,0,0,0,-,5,0,1.2,No,No
1966,Bill Heath,27,US,,L,R,"5' 8""",175,"Mar 10, 1939",2,55,28,55,37,0,37,0,0,0,0,0,0,0,0,-,19,0,1.1,No,No
1966,Sonny Jackson,21,US,,L,R,"5' 9""",150,"Jul 9, 1944",4,150,150,150,150,0,0,0,0,0,150,0,0,0,0,-,0,0,2.3,No,No
1966,Gary Kroll,24,US,,R,R,"6' 6""",220,"Jul 8, 1941",3,10,0,10,10,10,0,0,0,0,0,0,0,0,0,-,0,0,0.2,No,No
1966,Barry Latman,30,US,,R,R,"6' 3""",210,"May 21, 1936",10,31,9,31,31,31,0,0,0,0,0,0,0,0,0,-,0,0,1.7,No,No
1966,Don Lee,32,US,,R,R,"6' 4""",205,"Feb 26, 1934",9,9,0,9,9,9,0,0,0,0,0,0,0,0,0,-,0,0,0.6,No,No
1966,Bob Lillis,36,US,,R,R,"5' 11""",160,"Jun 2, 1930",9,68,41,68,60,0,0,0,34,6,20,0,0,0,0,-,10,3,-1.7,No,No
1966,Félix Mantilla,31,PR,,R,R,"6' 0""",160,"Jul 29, 1934",11,77,33,77,38,0,0,14,10,13,0,1,0,0,1,-,42,1,0,No,No
1966,Lee Maye,31,US,,L,R,"6' 2""",190,"Dec 11, 1934",8,115,93,115,97,0,0,0,0,0,0,97,0,0,97,-,21,0,0.7,No,No
1966,Norm Miller,20,US,,L,R,"5' 10""",185,"Feb 5, 1946",2,11,9,11,10,0,0,0,0,2,0,5,0,3,8,-,2,0,-0.2,No,No
1966,Aurelio Monteagudo,22,CU,,R,R,"5' 11""",180,"Nov 19, 1943",4,10,0,10,10,10,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1966,Joe Morgan,22,US,,L,R,"5' 7""",160,"Sep 19, 1943",4,122,117,122,117,0,0,0,117,0,0,0,0,0,0,-,5,0,3.6,Yes,Yes
1966,Dave Nicholson,26,US,,R,R,"6' 2""",215,"Aug 29, 1939",6,100,71,100,90,0,0,0,0,0,0,15,6,70,90,-,20,0,1,No,No
1966,Jim Owens,32,US,,R,R,"5' 11""",180,"Jan 16, 1934",11,40,0,40,40,40,0,0,0,0,0,0,0,0,0,-,0,0,-0.4,No,No
1966,Aaron Pointer,24,US,,R,R,"6' 2""",185,"Apr 19, 1942",2,11,7,11,11,0,0,0,0,0,0,11,0,0,11,-,3,0,0.6,No,No
1966,Jim Ray,21,US,,R,R,"6' 1""",185,"Dec 1, 1944",2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1966,Claude Raymond,29,CA,,R,R,"5' 10""",175,"May 7, 1937",7,62,0,62,62,62,0,0,0,0,0,0,0,0,0,-,0,0,1.1,Yes,No
1966,Robin Roberts,39,US,,B,R,"6' 0""",190,"Sep 30, 1926",19,13,12,13,13,13,0,0,0,0,0,0,0,0,0,-,0,0,0.4,No,Yes
1966,Carroll Sembera,24,US,,R,R,"6' 0""",155,"Jul 26, 1941",2,24,0,24,24,24,0,0,0,0,0,0,0,0,0,-,0,0,0.8,No,No
1966,Greg Sims,20,US,,B,R,"6' 0""",190,"Jun 28, 1946",1st,7,0,7,1,0,0,0,0,0,0,1,0,0,1,-,6,0,0,No,No
1966,Rusty Staub,22,US,,L,R,"6' 2""",190,"Apr 1, 1944",4,153,147,153,149,0,0,0,0,0,0,57,1,105,149,-,6,0,3.6,No,No
1966,Ron Taylor,28,CA,,R,R,"6' 1""",195,"Dec 13, 1937",5,36,1,36,36,36,0,0,0,0,0,0,0,0,0,-,0,0,-0.9,No,No
1966,Bob Watson,20,US,,R,R,"6' 0""",201,"Apr 10, 1946",1st,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-,1,0,0,No,No
1966,Don Wilson,21,US,,R,R,"6' 2""",195,"Feb 12, 1945",1st,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0.3,No,No
1966,Jim Wynn,24,US,,R,R,"5' 10""",160,"Mar 12, 1942",4,105,104,105,104,0,0,0,0,0,0,0,104,0,104,-,1,0,3.4,No,No
1966,Chris Zachary,22,US,,L,R,"6' 2""",200,"Feb 19, 1944",4,10,8,10,10,10,0,0,0,0,0,0,0,0,0,-,0,0,1,No,No
1967,Dave Adlesh,23,US,,R,R,"6' 0""",187,"Jul 15, 1943",5,39,24,39,31,0,31,0,0,0,0,0,0,0,0,-,9,0,-0.5,No,No
1967,Bob Aspromonte,29,US,,R,R,"6' 2""",170,"Jun 19, 1938",9,137,132,137,133,0,0,0,0,133,0,0,0,0,0,-,4,0,1.6,No,No
1967,Lee Bales,22,US,,B,R,"5' 10""",165,"Dec 4, 1944",2,19,6,19,6,0,0,0,6,0,1,0,0,0,0,-,10,3,-0.2,No,No
1967,John Bateman,26,US,,R,R,"6' 3""",210,"Jul 21, 1940",5,76,70,76,71,0,71,0,0,0,0,0,0,0,0,-,5,0,-1.4,No,No
1967,Bo Belinsky,30,US,,L,L,"6' 2""",191,"Dec 7, 1936",6,27,18,27,27,27,0,0,0,0,0,0,0,0,0,-,0,0,-1.4,No,No
1967,Wade Blasingame,23,US,,L,L,"6' 1""",185,"Nov 22, 1943",5,16,14,16,15,15,0,0,0,0,0,0,0,0,0,-,1,0,-1.3,No,No
1967,Ron Brand,27,US,,R,R,"5' 7""",167,"Jan 13, 1940",4,84,55,84,68,0,66,0,1,0,0,1,0,0,1,-,19,4,0.6,No,No
1967,Jackie Brandt,33,US,,R,R,"5' 11""",165,"Apr 28, 1934",11,41,19,41,21,0,0,14,0,1,0,6,0,0,6,-,21,0,0.1,No,No
1967,John Buzhardt,30,US,,R,R,"6' 2""",195,"Aug 17, 1936",10,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0.1,No,No
1967,Danny Coombs,25,US,,R,L,"6' 4""",200,"Mar 23, 1942",5,6,2,6,6,6,0,0,0,0,0,0,0,0,0,-,0,0,0.3,No,No
1967,Mike Cuellar,30,CU,,L,L,"6' 0""",165,"May 8, 1937",5,38,32,38,36,36,0,0,0,0,0,0,0,0,0,-,1,2,3.8,Yes,No
1967,Ron Davis,25,US,,R,R,"6' 0""",175,"Oct 21, 1941",3,94,70,94,80,0,0,0,0,0,0,64,10,8,80,-,15,3,1.2,No,No
1967,Larry Dierker,20,US,,R,R,"6' 4""",215,"Sep 22, 1946",4,15,15,15,15,15,0,0,0,0,0,0,0,0,0,-,0,0,1.3,No,No
1967,Tom Dukes,24,US,,R,R,"6' 2""",185,"Aug 31, 1942",1st,17,0,17,17,17,0,0,0,0,0,0,0,0,0,-,0,0,-0.1,No,No
1967,Arnold Earley,34,US,,L,L,"6' 1""",195,"Jun 4, 1933",8,2,0,2,2,2,0,0,0,0,0,0,0,0,0,-,0,0,-0.2,No,No
1967,Dave Eilers,30,US,,R,R,"5' 11""",188,"Dec 3, 1936",4,35,0,35,35,35,0,0,0,0,0,0,0,0,0,-,0,0,0.1,No,No
1967,Turk Farrell,33,US,,R,R,"6' 4""",215,"Apr 8, 1934",12,7,0,7,7,7,0,0,0,0,0,0,0,0,0,-,0,0,-0.1,No,No
1967,Dave Giusti,27,US,,R,R,"5' 11""",190,"Nov 27, 1939",5,43,33,43,37,37,0,0,0,0,0,0,0,0,0,-,0,6,1.2,No,No
1967,Julio Gotay,28,PR,,R,R,"6' 0""",180,"Jun 9, 1939",8,77,52,77,53,0,0,0,30,3,20,0,0,0,0,-,21,3,0.9,No,No
1967,Alonzo Harris,19,US,,B,R,"6' 0""",160,"Sep 17, 1947",1st,6,0,6,0,0,0,0,0,0,0,0,0,0,0,-,1,5,0,No,No
1967,Chuck Harrison,26,US,,R,R,"5' 10""",185,"Apr 25, 1941",3,70,44,70,59,0,0,59,0,0,0,0,0,0,0,-,13,2,0.1,No,No
1967,Bill Heath,28,US,,L,R,"5' 8""",175,"Mar 10, 1939",3,9,2,9,4,0,4,0,0,0,0,0,0,0,0,-,6,0,0,No,No
1967,José Herrera,25,VE,,R,R,"5' 8""",165,"Apr 8, 1942",1st,5,0,5,0,0,0,0,0,0,0,0,0,0,0,-,5,0,0,No,No
1967,Pat House,26,US,,L,L,"6' 3""",185,"Sep 1, 1940",1st,6,0,6,6,6,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1967,Sonny Jackson,22,US,,L,R,"5' 9""",150,"Jul 9, 1944",5,129,124,129,128,0,0,0,0,0,128,0,0,0,0,-,2,0,-0.9,No,No
1967,Hal King,23,US,,L,R,"6' 1""",200,"Feb 1, 1944",1st,15,11,15,11,0,11,0,0,0,0,0,0,0,0,-,4,0,0,No,No
1967,Jim Landis,33,US,,R,R,"6' 1""",180,"Mar 9, 1934",11,50,36,50,44,0,0,0,0,0,0,28,3,14,44,-,8,0,0,No,No
1967,Barry Latman,31,US,,R,R,"6' 3""",210,"May 21, 1936",11,39,1,39,39,39,0,0,0,0,0,0,0,0,0,-,0,0,-0.3,No,No
1967,Bob Lillis,37,US,,R,R,"5' 11""",160,"Jun 2, 1930",10,37,18,37,27,0,0,0,3,2,23,0,0,0,0,-,12,3,-0.7,No,No
1967,Eddie Mathews,35,US,,L,R,"6' 1""",190,"Oct 13, 1931",16,101,88,101,98,0,0,79,0,24,0,0,0,0,0,-,13,0,0.9,No,Yes
1967,Norm Miller,21,US,,L,R,"5' 10""",185,"Feb 5, 1946",3,64,49,64,53,0,0,0,0,0,0,53,0,0,53,-,14,1,-0.7,No,No
1967,Joe Morgan,23,US,,L,R,"5' 7""",160,"Sep 19, 1943",5,133,127,133,131,0,0,0,130,0,0,1,0,0,1,-,5,0,5,No,Yes
1967,Ivan Murrell,24,PA,,R,R,"6' 2""",195,"Apr 24, 1943",3,10,6,10,6,0,0,0,0,0,0,5,0,1,6,-,4,0,-0.1,No,No
1967,Jim Owens,33,US,,R,R,"5' 11""",180,"Jan 16, 1934",12,10,0,10,10,10,0,0,0,0,0,0,0,0,0,-,0,0,0.1,No,No
1967,Aaron Pointer,25,US,,R,R,"6' 2""",185,"Apr 19, 1942",3,27,20,27,22,0,0,0,0,0,0,22,0,0,22,-,3,3,-0.2,No,No
1967,Doug Rader,22,US,,R,R,"6' 2""",208,"Jul 30, 1944",1st,47,40,47,43,0,0,36,0,7,0,0,0,0,0,-,6,0,1,No,No
1967,Claude Raymond,30,CA,,R,R,"5' 10""",175,"May 7, 1937",8,21,0,21,21,21,0,0,0,0,0,0,0,0,0,-,0,0,0.6,No,No
1967,Howie Reed,30,US,,R,R,"6' 1""",195,"Dec 21, 1936",7,4,2,4,4,4,0,0,0,0,0,0,0,0,0,-,0,0,0.1,No,No
1967,Dan Schneider,24,US,,L,L,"6' 3""",170,"Aug 29, 1942",4,55,0,55,54,54,0,0,0,0,0,0,0,0,0,-,0,1,-0.7,No,No
1967,Carroll Sembera,25,US,,R,R,"6' 0""",155,"Jul 26, 1941",3,45,0,45,45,45,0,0,0,0,0,0,0,0,0,-,0,0,-1,No,No
1967,Larry Sherry,31,US,,R,R,"6' 2""",180,"Jul 25, 1935",10,29,0,29,29,29,0,0,0,0,0,0,0,0,0,-,0,0,-0.9,No,No
1967,Rusty Staub,23,US,,L,R,"6' 2""",190,"Apr 1, 1944",5,149,144,149,144,0,0,0,0,0,0,0,0,144,144,-,5,0,5.1,Yes,No
1967,Bruce Von Hoff,23,US,,R,R,"6' 0""",187,"Nov 17, 1943",2,10,10,10,10,10,0,0,0,0,0,0,0,0,0,-,0,0,-0.2,No,No
1967,Bob Watson,21,US,,R,R,"6' 0""",201,"Apr 10, 1946",2,6,3,6,3,0,0,3,0,0,0,0,0,0,0,-,3,0,0,No,No
1967,Don Wilson,22,US,,R,R,"6' 2""",195,"Feb 12, 1945",2,31,28,31,31,31,0,0,0,0,0,0,0,0,0,-,0,0,3.5,No,No
1967,Jim Wynn,25,US,,R,R,"5' 10""",160,"Mar 12, 1942",5,158,156,158,157,0,0,0,0,0,0,0,157,0,157,-,1,1,5.3,Yes,No
1967,Chris Zachary,23,US,,L,R,"6' 2""",200,"Feb 19, 1944",5,10,7,10,9,9,0,0,0,0,0,0,0,0,0,-,1,0,-0.7,No,No
1968,Dave Adlesh,24,US,,R,R,"6' 0""",187,"Jul 15, 1943",6,40,29,40,36,0,36,0,0,0,0,0,0,0,0,-,4,0,-0.6,No,No
1968,Bob Aspromonte,30,US,,R,R,"6' 2""",170,"Jun 19, 1938",10,124,110,124,112,0,0,1,0,75,1,35,0,2,36,-,13,0,-1.2,No,No
1968,John Bateman,27,US,,R,R,"6' 3""",210,"Jul 21, 1940",6,111,105,111,108,0,108,0,0,0,0,0,0,0,0,-,3,0,0.1,No,No
1968,Wade Blasingame,24,US,,L,L,"6' 1""",185,"Nov 22, 1943",6,22,2,22,22,22,0,0,0,0,0,0,0,0,0,-,0,0,-0.4,No,No
1968,Ron Brand,28,US,,R,R,"5' 7""",167,"Jan 13, 1940",5,43,18,43,31,0,29,0,0,1,0,0,0,1,1,-,9,10,-0.1,No,No
1968,Byron Browne,25,US,,R,R,"6' 2""",190,"Dec 27, 1942",4,10,2,10,2,0,0,0,0,0,0,0,0,2,2,-,8,0,0.1,No,No
1968,John Buzhardt,31,US,,R,R,"6' 2""",195,"Aug 17, 1936",11,39,4,39,39,39,0,0,0,0,0,0,0,0,0,-,0,0,1.1,No,No
1968,Nate Colbert,22,US,,R,R,"6' 2""",205,"Apr 9, 1946",2,20,14,20,16,0,0,5,0,0,0,3,5,3,11,-,2,4,-1,No,No
1968,Danny Coombs,26,US,,R,L,"6' 4""",200,"Mar 23, 1942",6,40,2,40,40,40,0,0,0,0,0,0,0,0,0,-,0,0,0.4,No,No
1968,Mike Cuellar,31,CU,,L,L,"6' 0""",165,"May 8, 1937",6,28,24,28,28,28,0,0,0,0,0,0,0,0,0,-,0,0,3.4,No,No
1968,Ron Davis,26,US,,R,R,"6' 0""",175,"Oct 21, 1941",4,52,52,52,52,0,0,0,0,0,0,0,52,0,52,-,0,0,-0.5,No,No
1968,Larry Dierker,21,US,,R,R,"6' 4""",215,"Sep 22, 1946",5,33,32,33,32,32,0,0,0,0,0,0,0,0,0,-,1,0,2.4,No,No
1968,Tom Dukes,25,US,,R,R,"6' 2""",185,"Aug 31, 1942",2,43,0,43,43,43,0,0,0,0,0,0,0,0,0,-,0,0,-0.7,No,No
1968,Hal Gilson,26,US,,R,L,"6' 5""",195,"Feb 9, 1942",1st,3,0,3,2,2,0,0,0,0,0,0,0,0,0,-,0,1,-0.1,No,No
1968,Dave Giusti,28,US,,R,R,"5' 11""",190,"Nov 27, 1939",6,38,34,38,37,37,0,0,0,0,0,0,0,0,0,-,0,1,4.7,No,No
1968,Fred Gladding,32,US,,L,R,"6' 1""",220,"Jun 28, 1936",8,7,0,7,7,7,0,0,0,0,0,0,0,0,0,-,0,0,-0.6,No,No
1968,Julio Gotay,29,PR,,R,R,"6' 0""",180,"Jun 9, 1939",9,75,35,75,49,0,0,0,48,1,0,0,0,0,0,-,27,3,-1.2,No,No
1968,José Herrera,26,VE,,R,R,"5' 8""",165,"Apr 8, 1942",2,27,23,27,24,0,0,0,7,0,0,5,0,12,17,-,4,0,-0.1,No,No
1968,Pat House,27,US,,L,L,"6' 3""",185,"Sep 1, 1940",2,18,0,18,18,18,0,0,0,0,0,0,0,0,0,-,0,0,-1,No,No
1968,Hal King,24,US,,L,R,"6' 1""",200,"Feb 1, 1944",2,27,10,27,19,0,19,0,0,0,0,0,0,0,0,-,13,0,-0.8,No,No
1968,Denny Lemaster,29,US,,R,L,"6' 1""",182,"Feb 25, 1939",7,33,32,33,33,33,0,0,0,0,0,0,0,0,0,-,0,0,3.9,No,No
1968,John Mayberry,19,US,,L,L,"6' 3""",215,"Feb 18, 1949",1st,4,2,4,2,0,0,2,0,0,0,0,0,0,0,-,2,0,-0.2,No,No
1968,Leon McFadden,24,US,,R,R,"6' 2""",195,"Apr 26, 1944",1st,16,14,16,16,0,0,0,0,0,16,0,0,0,0,-,1,0,0.1,No,No
